"filename", "language", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\aboutUS.html", "HTML", 39, 0, 0, 0, 2, 41
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\cart.html", "HTML", 53, 0, 0, 0, 2, 55
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\contact.html", "HTML", 39, 0, 0, 0, 2, 41
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\css\style.css", "CSS", 0, 0, 261, 15, 63, 339
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\images\cart.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\images\user.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\index.html", "HTML", 80, 0, 0, 0, 1, 81
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\login.html", "HTML", 0, 0, 0, 0, 1, 1
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\productdescription.html", "HTML", 57, 0, 0, 0, 0, 57
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\produktlist.html", "HTML", 138, 0, 0, 0, 2, 140
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\support.html", "HTML", 40, 0, 0, 0, 3, 43
"c:\Users\sigurd\Documents\GitHub\cross-course-project-Voidwaker\tos.html", "HTML", 40, 0, 0, 0, 3, 43
"Total", "-", 486, 13, 261, 15, 81, 856
